code,name,sector,price,rate,link
G0001,가온전자,전기전자,9963,0.27,https://kh-lab.rockua.ai.kr/stocks/G0001
G0002,단비자산운용,금융,21387,-0.26,https://kh-lab.rockua.ai.kr/stocks/G0002
G0003,보람금융지주,금융,9151,1.79,https://kh-lab.rockua.ai.kr/stocks/G0003
G0004,푸른소프트,IT서비스,66014,-0.85,https://kh-lab.rockua.ai.kr/stocks/G0004
G0005,샛별소프트,IT서비스,50360,-0.3,https://kh-lab.rockua.ai.kr/stocks/G0005
G0006,아람리테일,유통,7373,1.58,https://kh-lab.rockua.ai.kr/stocks/G0006
G0007,백두은행,금융,52990,-1.88,https://kh-lab.rockua.ai.kr/stocks/G0007
G0008,아람데이터,IT서비스,60224,1.72,https://kh-lab.rockua.ai.kr/stocks/G0008
G0009,벼리캐피탈,금융,11149,0.96,https://kh-lab.rockua.ai.kr/stocks/G0009
G0010,태산유통,유통,12670,0.47,https://kh-lab.rockua.ai.kr/stocks/G0010
G0011,미소소재,화학,7570,0.29,https://kh-lab.rockua.ai.kr/stocks/G0011
G0012,온누리헬스케어,바이오,13384,0.63,https://kh-lab.rockua.ai.kr/stocks/G0012
G0013,단비화학,화학,67688,0.08,https://kh-lab.rockua.ai.kr/stocks/G0013
G0014,한빛가스,에너지,6778,4.26,https://kh-lab.rockua.ai.kr/stocks/G0014
G0015,해솔아이티,IT서비스,13158,1.24,https://kh-lab.rockua.ai.kr/stocks/G0015
G0016,단비산업개발,건설,5241,-2.13,https://kh-lab.rockua.ai.kr/stocks/G0016
G0017,가온항공,운수장비,50043,-0.69,https://kh-lab.rockua.ai.kr/stocks/G0017
G0018,단비생명과학,바이오,19946,0.22,https://kh-lab.rockua.ai.kr/stocks/G0018
G0019,아람커머스,유통,55662,-0.97,https://kh-lab.rockua.ai.kr/stocks/G0019
G0020,누리마트,유통,12417,-1.05,https://kh-lab.rockua.ai.kr/stocks/G0020
