code,date,open,high,low,close,volume,change,changeRate
G0001,2023-09-25,23660,24645,23395,24015,2214739,0,0
G0001,2023-09-26,23945,24615,23861,24400,1213238,385,1.6
G0001,2023-09-27,24531,24795,24021,24295,1179750,-105,-0.43
G0001,2023-09-28,24025,24606,23760,23974,1180335,-321,-1.32
G0001,2023-09-29,23869,24537,23121,23784,1645990,-190,-0.79
G0001,2023-10-02,23950,24741,23578,24669,1254048,885,3.72
G0001,2023-10-03,24545,24807,24112,24520,1882311,-149,-0.6
G0001,2023-10-04,24422,24676,23939,24081,544780,-439,-1.79
G0001,2023-10-05,23892,24327,23158,23596,966810,-485,-2.01
G0001,2023-10-06,23766,25357,23690,24674,1064796,1078,4.57
G0001,2023-10-09,24680,24782,24373,24622,914292,-52,-0.21
G0001,2023-10-10,24673,25350,24613,24688,663895,66,0.27
G0001,2023-10-11,24863,25101,24435,25043,1422848,355,1.44
G0001,2023-10-12,25329,25745,24775,25442,1717089,399,1.59
G0001,2023-10-13,25274,25836,24705,24896,1090417,-546,-2.15
G0001,2023-10-16,24945,26038,24294,25899,1023936,1003,4.03
G0001,2023-10-17,25647,26002,25230,25528,675182,-371,-1.43
G0001,2023-10-18,25439,25640,24270,24694,1546424,-834,-3.27
G0001,2023-10-19,24734,25257,23666,24337,1238218,-357,-1.45
G0001,2023-10-20,24223,24337,23660,23800,1582659,-537,-2.21
G0001,2023-10-23,23805,24196,23116,23822,615963,22,0.09
G0001,2023-10-24,24078,24250,23577,24193,609634,371,1.56
G0001,2023-10-25,24157,24620,23321,23984,1226523,-209,-0.86
G0001,2023-10-26,23869,23971,23197,23913,942769,-71,-0.3
G0001,2023-10-27,23972,24087,23908,23977,989226,64,0.27
G0001,2023-10-30,24174,24631,23678,24052,535401,75,0.31
G0001,2023-10-31,24068,25395,24008,25176,1277139,1124,4.67
G0001,2023-11-01,25286,25795,24803,25130,789021,-46,-0.18
G0001,2023-11-02,25346,26123,25307,25427,798802,297,1.18
G0001,2023-11-03,25243,25763,24107,24235,1298152,-1192,-4.69
G0001,2023-11-06,23977,24058,23566,23604,765160,-631,-2.6
G0001,2023-11-07,23517,24241,23209,23632,1033767,28,0.12
G0001,2023-11-08,23636,24020,23290,23830,1811977,198,0.84
G0001,2023-11-09,23788,24010,22840,23441,703220,-389,-1.63
G0001,2023-11-10,23602,24295,23244,24048,874195,607,2.59
G0001,2023-11-13,24133,24250,23827,24078,699598,30,0.12
G0001,2023-11-14,23966,24299,23378,23825,910009,-253,-1.05
G0001,2023-11-15,23664,24146,23414,23684,1455258,-141,-0.59
G0001,2023-11-16,23643,24047,23215,23290,866505,-394,-1.66
G0001,2023-11-17,23393,24453,22978,23872,474084,582,2.5
G0001,2023-11-20,24012,24716,23728,24212,1391640,340,1.42
G0001,2023-11-21,24293,24585,24252,24561,1345731,349,1.44
G0001,2023-11-22,24344,24642,23721,24437,895068,-124,-0.5
G0001,2023-11-23,24556,24853,23688,24337,714943,-100,-0.41
G0001,2023-11-24,24409,24983,24325,24732,788310,395,1.62
G0001,2023-11-27,24524,25245,23269,23904,1022375,-828,-3.35
G0001,2023-11-28,23608,24105,23154,23387,1508891,-517,-2.16
G0001,2023-11-29,23359,23507,23070,23144,710786,-243,-1.04
G0001,2023-11-30,22838,23235,22030,22444,623183,-700,-3.02
G0001,2023-12-01,22476,22778,22412,22626,1141713,182,0.81
G0001,2023-12-04,22647,22983,22310,22869,689751,243,1.07
G0001,2023-12-05,22873,23305,22169,22596,790413,-273,-1.19
G0001,2023-12-06,22598,23122,21412,21800,1135994,-796,-3.52
G0001,2023-12-07,21794,22437,21274,22003,1424192,203,0.93
G0001,2023-12-08,21845,22221,21453,21643,1774497,-360,-1.64
G0001,2023-12-11,21651,21834,20946,21453,1348758,-190,-0.88
G0001,2023-12-12,21757,22311,21640,21938,895223,485,2.26
G0001,2023-12-13,21937,22147,21352,21624,1369542,-314,-1.43
G0001,2023-12-14,21956,22756,21721,22397,2105463,773,3.57
G0001,2023-12-15,22133,22472,21544,21826,1579262,-571,-2.55
G0001,2023-12-18,21793,22236,20998,21476,844644,-350,-1.6
G0001,2023-12-19,21513,21670,20810,21329,1183739,-147,-0.68
G0001,2023-12-20,21277,21591,21114,21287,1794248,-42,-0.2
G0001,2023-12-21,21313,21933,20965,21715,727508,428,2.01
G0001,2023-12-22,22163,23472,21906,22874,1645414,1159,5.34
G0001,2023-12-25,23360,24336,22965,23756,2225361,882,3.86
G0001,2023-12-26,23881,23926,23647,23749,1024993,-7,-0.03
G0001,2023-12-27,23737,24242,23382,23614,1384610,-135,-0.57
G0001,2023-12-28,23378,23882,23178,23203,1684496,-411,-1.74
G0001,2023-12-29,23289,24331,22917,23631,1237643,428,1.84
G0001,2024-01-01,23726,23972,23180,23619,842306,-12,-0.05
G0001,2024-01-02,23724,24394,23531,23807,809990,188,0.8
G0001,2024-01-03,23673,24383,22897,23373,589502,-434,-1.82
G0001,2024-01-04,23200,23356,23034,23071,672510,-302,-1.29
G0001,2024-01-05,22849,23410,22429,22706,561343,-365,-1.58
G0001,2024-01-08,22751,23105,22428,22880,1483999,174,0.77
G0001,2024-01-09,22980,23654,22703,23233,557119,353,1.54
G0001,2024-01-10,23250,23751,23165,23189,757905,-44,-0.19
G0001,2024-01-11,23193,23630,22641,23500,944717,311,1.34
G0001,2024-01-12,23595,23862,22900,23745,1384261,245,1.04
G0001,2024-01-15,23753,24392,23388,23921,717285,176,0.74
G0001,2024-01-16,23897,24501,23333,23758,955567,-163,-0.68
G0001,2024-01-17,24011,24589,23892,24267,1234471,509,2.14
G0001,2024-01-18,24325,24868,23930,24375,643380,108,0.45
G0001,2024-01-19,24600,25285,23936,24447,1839597,72,0.3
