code,name,sectorCode,market,listedDate,ceo,address,employeeCount,listedShares,marketCap,price,changeRate
G0001,가온전자,,GX-MAIN,1988-08-06,뇌초재,가온국 가온특별시 두레구 보람로 87,27083,77312000,770259456000,9963,0.27
G0002,단비자산운용,S01,GX-MAIN,1996-06-23,설가재,가온국 새벽시 마루구 가온대로 5,41319,60118000,1285743666000,21387,-0.26
G0003,보람금융지주,S01,GX-GROWTH,2018-12-15,황보슬결,가온국 온누리특별자치시 늘품구 보람로 76,5803,12461000,114030611000,9151,1.79
G0004,푸른소프트,S08,GX-MAIN,2002-06-22,,가온국 가온특별시 마루구 한빛로 197,67694,52266000,3450287724000,66014,-0.85
G0005,샛별소프트,S08,GX-MAIN,1992-08-05,반가율,가온국 청람광역시 벼리구 보람로 115,23829,15034000,757112240000,50360,-0.3
G0006,아람리테일,S05,GX-GROWTH,2023-12-20,제갈루늘,가온국 명주시 윤슬구 가온대로 34,2698,6034000,44488682000,7373,1.58
G0007,백두은행,S01,GX-MAIN,2004.08.23,독고가슬,가온국 해솔시 다솜구 아띠대로 144,29028,112000000,5934880000000,52990,-1.88
G0008,아람데이  터,S08,GX-MAIN,2003.12.04,음온나,가온국 들녘시 벼리구 수피아길 261,23334,120763000,7272830912000,60224,1.72
G0009,벼리캐피탈,S01,GX-GROWTH,2017-09-11,설윤늘,가온국 가온특별시 한터구 청람로 133,2825,5092000,56770708000,11149,0.96
G0010,태산유통,S05,GX-GROWTH,2018-08-17,황보벼린,가온국 한빛광역시 다솜구 아띠대로 193,22233,18628000,236016760000,,0.47
G0011,미소소재,S03,GX-MAIN,2011-10-23,뇌주민,가온국 태산시 도담구 초아로 97,19712,29762000,225298340000,7570,0.29
G0012,온누리헬스케어   ,S07,GX-GROWTH,2019-11-17,선우다민,가온국 해솔시 마루구 해원로 239,9149,5820000,77894880000,13384,0.63
G0013, 단비화학 ,S03,GX-MAIN,1994-09-22,독고벼별,가온국 태산시 마루구 수피아길 217,10566,18012000,1219196256000,,0.08
G0014,한빛가스,S09,GX-GROWTH,2005-10-11,탁주재,가온국 명주시 라온구 해원로 261,2819,7528000,51024784000,6778,4.26
G0015,해솔  아이티,S08,GX-GROWTH,2010-04-08,어벼늘,가온국 새벽시 샛별구 아띠대로 92,42986,30403000,400042674000,13158,
G0016,단비산업개발,S06,GX-GROWTH,2019-03-15,어다람,가온국 해솔시 늘품구 아띠대로 174,28131,18611000,97540251000,5241,-2.13
G0017,가온항공,S04,GX-MAIN,1996-06-04,황보슬슬,가온국 태산시 다솜구 아띠대로 208,91129,57019000,2853401817000,50043,-0.69
G0018,단비생명과학,S07,GX-GROWTH,2021-07-14,독고리늘,가온국 청람광역시 도담구 한빛로 166,26913,27651000,551526846000,19946,0.22
G0019,아람커머스,S05,GX-MAIN,1996-01-12,,가온국 들녘시 라온구 초아로 289,106568,69256000,3854927472000,55662,-0.97
G0020,누리마트,S05,GX-MAIN,2003-05-04,견보율,가온국 가온특별시 늘품구 수피아길 182,15118,75101000,932529117000,12417,-1.05
G0021,단비유업,S10,GX-MAIN,2007-05-05,남궁리늘,가온국 가온특별시 윤슬구 아띠대로 105,61282,41916000,470884344000,11234,
G0022,이레유업,S10,GX-MAIN,2006-07-04,뇌슬우,가온국 새벽시 벼리구 보람로 15,15414,14965000,344793600000,23040,1
