order_date,category,faction,channel,unit_price,units_sold,review_score,return_rate
2025-03-18,도료&도구,타이라니드,공식 온라인몰,6385,35,3.8,0.0
2025-07-14,미니어처,타이라니드,오프라인 매장,104709,13,4.3,0.0
2025-10-13,테레인,오크,오프라인 매장,26051,4,3.8,5.0
2025-10-27,미니어처,아엘다리,공식 온라인몰,18714,17,3.5,7.0
2025-02-03,도료&도구,아엘다리,오프라인 매장,23248,34,3.9,0.2
2025-05-15,도료&도구,카오스,공식 온라인몰,16566,34,3.8,0.8
2025-09-10,룰북&코덱스,카오스,오픈마켓,28227,10,5.0,6.9
2025-06-26,룰북&코덱스,타이라니드,오프라인 매장,56365,9,4.8,7.3
2025-10-06,테레인,아엘다리,오프라인 매장,61718,8,3.5,3.4
2025-06-01,테레인,아엘다리,해외 직구,67200,6,,6.4
2025-02-13,악세서리,카오스,오프라인 매장,25537,23,4.8,1.7
2025-03-30,룰북&코덱스,아엘다리,오픈마켓,37153,9,5.0,4.6
2025-02-01,악세서리,아엘다리,오픈마켓,6399,21,4.2,2.9
2025-03-19,테레인,아엘다리,오픈마켓,71589,9,4.6,7.8
2025-10-22,미니어처,카오스,공식 온라인몰,38634,22,3.9,6.6
2025-05-01,악세서리,카오스,해외 직구,18237,9,4.3,0.7
2025-05-20,도료&도구,네크론,오픈마켓,10629,31,5.0,4.2
2025-04-11,미니어처,타이라니드,공식 온라인몰,87768,8,4.2,9.8
2025-04-28,악세서리,오크,해외 직구,15447,18,4.3,5.9
2025-01-24,미니어처,타이라니드,오픈마켓,21687,15,4.4,6.0
2025-05-30,미니어처,오크,공식 온라인몰,34950,20,4.2,
2025-09-01,도료&도구,스페이스 마린,오픈마켓,3478,48,3.5,7.9
2025-01-03,테레인,스페이스 마린,해외 직구,60459,7,2.8,3.9
2025-07-10,악세서리,아엘다리,공식 온라인몰,7729,10,4.4,1.9
2025-06-24,악세서리,카오스,오프라인 매장,20099,30,4.5,6.2
2025-01-07,룰북&코덱스,카오스,공식 온라인몰,33790,11,3.7,5.7
2025-09-06,룰북&코덱스,스페이스 마린,오픈마켓,47537,9,2.8,6.0
2025-03-25,악세서리,네크론,공식 온라인몰,10763,18,4.7,3.2
2025-05-16,도료&도구,카오스,오픈마켓,16942,35,4.0,0.0
2025-04-18,테레인,스페이스 마린,해외 직구,15261,6,5.0,0.9
2025-10-22,룰북&코덱스,오크,공식 온라인몰,59326,8,3.6,3.2
2025-10-31,도료&도구,타이라니드,오프라인 매장,5072,41,4.4,2.9
2025-02-17,미니어처,카오스,해외 직구,68218,16,3.7,4.7
2025-09-07,룰북&코덱스,아엘다리,오픈마켓,30888,10,4.5,3.0
2025-06-09,도료&도구,오크,오픈마켓,24030,37,3.6,5.8
2025-05-06,미니어처,오크,오픈마켓,38745,20,4.1,8.1
2025-04-29,룰북&코덱스,카오스,공식 온라인몰,46021,5,3.7,4.4
2025-10-24,미니어처,카오스,오픈마켓,47728,14,4.4,3.9
2025-04-23,도료&도구,아엘다리,공식 온라인몰,20622,30,3.8,5.3
2025-10-02,미니어처,오크,해외 직구,85836,19,4.3,7.1
2025-08-07,미니어처,카오스,오픈마켓,82303,13,3.6,3.9
2025-03-25,룰북&코덱스,타이라니드,오픈마켓,49492,11,4.9,4.2
2025-06-15,악세서리,네크론,오픈마켓,14208,15,4.2,1.9
2025-05-16,미니어처,아엘다리,오픈마켓,69492,18,3.3,6.2
2025-07-22,테레인,스페이스 마린,공식 온라인몰,24258,5,4.2,
