code,name,sectorCode,sectorName,market,listedDate,ceo,address,employeeCount,listedShares,marketCap
G0001,가온전자,S02,전기전자,GX-MAIN,1988-08-06,뇌초재,가온국 가온특별시 두레구 보람로 87,27083,77312000,770259456000
G0002,단비자산운용,S01,금융,GX-MAIN,1996-06-23,설가재,가온국 새벽시 마루구 가온대로 5,41319,60118000,1285743666000
G0003,보람금융지주,S01,금융,GX-GROWTH,2018-12-15,황보슬결,가온국 온누리특별자치시 늘품구 보람로 76,5803,12461000,114030611000
G0004,푸른소프트,S08,IT서비스,GX-MAIN,2002-06-22,탁아늘,가온국 가온특별시 마루구 한빛로 197,67694,52266000,3450287724000
G0005,샛별소프트,S08,IT서비스,GX-MAIN,1992-08-05,반가율,가온국 청람광역시 벼리구 보람로 115,23829,15034000,757112240000
G0006,아람리테일,S05,유통,GX-GROWTH,2023-12-20,제갈루늘,가온국 명주시 윤슬구 가온대로 34,2698,6034000,44488682000
G0007,백두은행,S01,금융,GX-MAIN,2004-08-23,독고가슬,가온국 해솔시 다솜구 아띠대로 144,29028,112000000,5934880000000
G0008,아람데이터,S08,IT서비스,GX-MAIN,2003-12-04,음온나,가온국 들녘시 벼리구 수피아길 261,23334,120763000,7272830912000
G0009,벼리캐피탈,S01,금융,GX-GROWTH,2017-09-11,설윤늘,가온국 가온특별시 한터구 청람로 133,2825,5092000,56770708000
G0010,태산유통,S05,유통,GX-GROWTH,2018-08-17,황보벼린,가온국 한빛광역시 다솜구 아띠대로 193,22233,18628000,236016760000
G0011,미소소재,S03,화학,GX-MAIN,2011-10-23,뇌주민,가온국 태산시 도담구 초아로 97,19712,29762000,225298340000
G0012,온누리헬스케어,S07,바이오,GX-GROWTH,2019-11-17,선우다민,가온국 해솔시 마루구 해원로 239,9149,5820000,77894880000
G0013,단비화학,S03,화학,GX-MAIN,1994-09-22,독고벼별,가온국 태산시 마루구 수피아길 217,10566,18012000,1219196256000
G0014,한빛가스,S09,에너지,GX-GROWTH,2005-10-11,탁주재,가온국 명주시 라온구 해원로 261,2819,7528000,51024784000
G0015,해솔아이티,S08,IT서비스,GX-GROWTH,2010-04-08,어벼늘,가온국 새벽시 샛별구 아띠대로 92,42986,30403000,400042674000
G0016,단비산업개발,S06,건설,GX-GROWTH,2019-03-15,어다람,가온국 해솔시 늘품구 아띠대로 174,28131,18611000,97540251000
G0017,가온항공,S04,운수장비,GX-MAIN,1996-06-04,황보슬슬,가온국 태산시 다솜구 아띠대로 208,91129,57019000,2853401817000
G0018,단비생명과학,S07,바이오,GX-GROWTH,2021-07-14,독고리늘,가온국 청람광역시 도담구 한빛로 166,26913,27651000,551526846000
G0019,아람커머스,S05,유통,GX-MAIN,1996-01-12,옥윤결,가온국 들녘시 라온구 초아로 289,106568,69256000,3854927472000
G0020,누리마트,S05,유통,GX-MAIN,2003-05-04,견보율,가온국 가온특별시 늘품구 수피아길 182,15118,75101000,932529117000
G0021,단비유업,S10,식품,GX-MAIN,2007-05-05,남궁리늘,가온국 가온특별시 윤슬구 아띠대로 105,61282,41916000,470884344000
G0022,이레유업,S10,식품,GX-MAIN,2006-07-04,뇌슬우,가온국 새벽시 벼리구 보람로 15,15414,14965000,344793600000
G0023,청람데이터,S08,IT서비스,GX-GROWTH,2019-11-17,동방아늘,가온국 명주시 한터구 수피아길 7,15597,14147000,1618218742000
G0024,너울반도체,S02,전기전자,GX-GROWTH,2023-02-16,탁온별,가온국 들녘시 두레구 가온대로 272,18351,55293000,226314249000
G0025,신흥조선,S04,운수장비,GX-MAIN,1993-03-08,선우단온,가온국 청람광역시 라온구 길벗로 170,8603,43114000,576175496000
G0026,자강가스,S09,에너지,GX-MAIN,1991-04-08,동방슬람,가온국 가온특별시 샛별구 길벗로 50,51568,79643000,1053676890000
G0027,슬기소재,S03,화학,GX-MAIN,1995-06-21,제갈유샘,가온국 청람광역시 한터구 청람로 133,39033,24595000,1411039745000
G0028,미소제약,S07,바이오,GX-GROWTH,2011-12-07,옥해율,가온국 들녘시 벼리구 한빛로 89,2972,2840000,12061480000
G0029,새벽반도체,S02,전기전자,GX-MAIN,2004-11-02,남궁주우,가온국 청람광역시 벼리구 보람로 161,65393,48121000,1658730870000
G0030,명주금융지주,S01,금융,GX-MAIN,2010-10-24,봉태샘,가온국 해솔시 라온구 수피아길 20,20637,25601000,4662070105000
G0031,신흥자산운용,S01,금융,GX-GROWTH,2020-10-19,표세재,가온국 청람광역시 도담구 너울길 21,4626,5027000,50817943000
G0032,벼리클라우드,S08,IT서비스,GX-GROWTH,2020-01-20,선우아슬,가온국 명주시 다솜구 청람로 69,4178,14775000,448495125000
G0033,슬기중공업,S04,운수장비,GX-GROWTH,2019-12-07,서문윤람,가온국 들녘시 윤슬구 너울길 182,7253,13708000,171062132000
G0034,신흥리테일,S05,유통,GX-GROWTH,2010-05-24,뇌건우,가온국 새벽시 두레구 아띠대로 280,16025,10850000,85845200000
